id,job_title,location,connection,fit,rank
55,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,0.15,69
48,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,0.15,70
45,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,0.15,71
12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,0.15,72
100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,"Cape Girardeau, Missouri",103,0.12428148330447449,73
82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,"Austin, Texas Area",174,0.12258630472725886,74
76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,0.11792389271377338,75
66,Experienced Retail Manager and aspiring Human Resources Professional,"Austin, Texas Area",57,0.09945731872425881,76
44,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,0.0949700135627069,77
14,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,0.0949700135627069,78
1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,0.0949700135627069,79
15,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,0.0949700135627069,80
31,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,0.0949700135627069,81
19,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,0.0949700135627069,82
57,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,0.0949700135627069,83
72,Business Management Major and Aspiring Human Resources Manager,"Monroe, Louisiana Area",5,0.08376054714848959,84
83,HR Manager at Endemol Shine North America,"Los Angeles, California",268,0.0804,85
88,Human Resources Management Major,"Milpitas, California",18,0.0773674688127161,86
79,Liberal Arts Major. Aspiring Human Resources Analyst.,"Baton Rouge, Louisiana Area",7,0.07605287575275914,87
70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.","Virginia Beach, Virginia",82,0.07551533218703903,88
92,Seeking employment opportunities within Customer Service or Patient Care,"Torrance, California",64,0.06029604981469647,89
84,Human Resources professional for the world leader in GIS software,"Highland, California",50,0.05924472203400296,90
90,Undergraduate Research Assistant at Styczynski Lab,Greater Atlanta Area,155,0.0465,91
95,Student at Westfield State University,"Bridgewater, Massachusetts",57,0.0171,92
80,Junior MES Engineer| Information Systems,"Myrtle Beach, South Carolina Area",52,0.0156,93
102,Business Intelligence and Analytics at Travelers,Greater New York City Area,49,0.0147,94
87,Bachelor of Science in Biology from Victoria University of Wellington,"Baltimore, Maryland",40,0.012,95
91,Lead Official at Western Illinois University,Greater Chicago Area,39,0.0117,96
96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint","Lafayette, Indiana",19,0.005699999999999999,97
93,Admissions Representative at Community medical center long beach,"Long Beach, California",9,0.0026999999999999997,98
98,Student,"Houston, Texas Area",4,0.0012,99
86,Information Systems Specialist and Programmer with a love for data and organization.,"Gaithersburg, Maryland",4,0.0012,100
63,Student at Chapman University,"Lake Forest, California",2,0.0006,101
11,Student at Chapman University,"Lake Forest, California",2,0.0006,102
41,Student at Chapman University,"Lake Forest, California",2,0.0006,103
54,Student at Chapman University,"Lake Forest, California",2,0.0006,104
