id,job_title,location,connection,rank_fasttext,fit_fasttext,fit_tfidf,rank_tfidf,rank_difference
100,Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,"Cape Girardeau, Missouri",103,43,0.8150706469535828,0.16099028534396387,74,31
99,Seeking Human Resources Position,"Las Vegas, Nevada Area",48,44,0.8109259335517883,0.31298921755609055,11,-33
19,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,45,0.8056513872146607,0.12959938183580205,79,34
15,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,46,0.8056513872146607,0.12959938183580205,80,34
31,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,47,0.8056513872146607,0.12959938183580205,82,35
14,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,48,0.8056513872146607,0.12959938183580205,77,29
44,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,49,0.8056513872146607,0.12959938183580205,83,34
57,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,50,0.8056513872146607,0.12959938183580205,81,31
1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,51,0.8056513872146607,0.12959938183580205,78,27
74,Human Resources Professional,Greater Boston Area,16,52,0.8050378669738769,0.18114573245645493,65,13
88,Human Resources Management Major,"Milpitas, California",18,53,0.8019665452957153,0.09123816804243297,87,34
72,Business Management Major and Aspiring Human Resources Manager,"Monroe, Louisiana Area",5,54,0.8002902526855469,0.11520074739544975,84,30
61,HR Senior Specialist,San Francisco Bay Area,500+ ,55,0.7998979806900024,0.2,51,-4
51,HR Senior Specialist,San Francisco Bay Area,500+ ,56,0.7998979806900024,0.2,61,5
26,HR Senior Specialist,San Francisco Bay Area,500+ ,57,0.7998979806900024,0.2,54,-3
38,HR Senior Specialist,San Francisco Bay Area,500+ ,58,0.7998979806900024,0.2,38,-20
8,HR Senior Specialist,San Francisco Bay Area,500+ ,59,0.7998979806900024,0.2,45,-14
60,Aspiring Human Resources Specialist,Greater New York City Area,1,60,0.7992695502281189,0.23498620300933973,31,-29
49,Aspiring Human Resources Specialist,Greater New York City Area,1,61,0.7992695502281189,0.23498620300933973,33,-28
6,Aspiring Human Resources Specialist,Greater New York City Area,1,62,0.7992695502281189,0.23498620300933973,29,-33
24,Aspiring Human Resources Specialist,Greater New York City Area,1,63,0.7992695502281189,0.23498620300933973,32,-31
36,Aspiring Human Resources Specialist,Greater New York City Area,1,64,0.7992695502281189,0.23498620300933973,30,-34
102,Business Intelligence and Analytics at Travelers,Greater New York City Area,49,65,0.7937803526878356,0.019600000000000003,94,29
79,Liberal Arts Major. Aspiring Human Resources Analyst.,"Baton Rouge, Louisiana Area",7,66,0.7903688672065735,0.10456835794859994,86,20
73,"Aspiring Human Resources Manager, seeking internship in Human Resources.","Houston, Texas Area",7,67,0.7901651385307312,0.1961148858164667,64,-3
103,Always set them up for Success,Greater Los Angeles Area,500+ ,68,0.7802997946739196,0.2,41,-27
83,HR Manager at Endemol Shine North America,"Los Angeles, California",268,69,0.7801101538658142,0.10720000000000002,85,16
98,Student,"Houston, Texas Area",4,70,0.7751974192619324,0.0016,99,29
4,People Development Coordinator at Ryan,"Denton, Texas",500+ ,71,0.7613156557083129,0.2,40,-31
34,People Development Coordinator at Ryan,"Denton, Texas",500+ ,72,0.7613156557083129,0.2,53,-19
47,People Development Coordinator at Ryan,"Denton, Texas",500+ ,73,0.7613156557083129,0.2,62,-11
22,People Development Coordinator at Ryan,"Denton, Texas",500+ ,74,0.7613156557083129,0.2,44,-30
18,People Development Coordinator at Ryan,"Denton, Texas",500+ ,75,0.7613156557083129,0.2,43,-32
59,People Development Coordinator at Ryan,"Denton, Texas",500+ ,76,0.7613156557083129,0.2,49,-27
96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint","Lafayette, Indiana",19,77,0.757112255191803,0.0076,97,20
90,Undergraduate Research Assistant at Styczynski Lab,Greater Atlanta Area,155,78,0.7501624460220337,0.062,90,12
70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.","Virginia Beach, Virginia",82,79,0.722798209476471,0.09071102866749273,88,9
95,Student at Westfield State University,"Bridgewater, Massachusetts",57,80,0.7029639795303345,0.0228,92,12
87,Bachelor of Science in Biology from Victoria University of Wellington,"Baltimore, Maryland",40,81,0.7015793595314026,0.016,95,14
86,Information Systems Specialist and Programmer with a love for data and organization.,"Gaithersburg, Maryland",4,82,0.6784413782119751,0.0016,100,18
92,Seeking employment opportunities within Customer Service or Patient Care,"Torrance, California",64,83,0.6769842940330505,0.05168222023798203,91,8
84,Human Resources professional for the world leader in GIS software,"Highland, California",50,84,0.6658458304405213,0.07166564069330297,89,5
5,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,85,0.6505229592323303,0.2,46,-39
48,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,86,0.6505229592323303,0.2,48,-38
23,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,87,0.6505229592323303,0.2,55,-32
35,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,88,0.6505229592323303,0.2,37,-51
54,Student at Chapman University,"Lake Forest, California",2,89,0.6406144960403443,0.0008,104,15
11,Student at Chapman University,"Lake Forest, California",2,90,0.6406144960403443,0.0008,101,11
41,Student at Chapman University,"Lake Forest, California",2,91,0.6406144960403443,0.0008,103,12
63,Student at Chapman University,"Lake Forest, California",2,92,0.6406144960403443,0.0008,102,10
80,Junior MES Engineer| Information Systems,"Myrtle Beach, South Carolina Area",52,93,0.6078471596717835,0.0208,93,0
91,Lead Official at Western Illinois University,Greater Chicago Area,39,94,0.5687021952629089,0.015600000000000001,96,2
93,Admissions Representative at Community medical center long beach,"Long Beach, California",9,95,0.5661122785568238,0.0036,98,3
2,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,96,0.49550400376319886,0.2,39,-57
45,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,97,0.49550400376319886,0.2,59,-38
32,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,98,0.49550400376319886,0.2,52,-46
20,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,99,0.49550400376319886,0.2,56,-43
16,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,100,0.49550400376319886,0.2,58,-42
12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,101,0.39880203902721406,0.2,57,-44
64,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,102,0.39880203902721406,0.2,50,-52
42,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,103,0.39880203902721406,0.2,63,-40
55,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,104,0.39880203902721406,0.2,60,-44
